name,type,latitude,longitude,importance,source
Vishwakarma University,College,18.4603162,73.8835996,3,OSM
sant tukaram collage,College,18.5976204,73.9241955,3,OSM
COEP,College,18.53051,73.8579376,3,OSM
ILS Law College,College,18.5171397,73.8279459,3,OSM
Armed Forces Medical College,College,18.5028462,73.8935819,3,OSM
Indian Institute of Tropical Meteorology (IITM),College,18.5367789,73.8052749,3,OSM
Modern College of Engineering,College,18.525506,73.8464333,3,OSM
Armament Research and Development Establishment,College,18.5356514,73.8006044,3,OSM
National Defence Academy,College,18.4565863,73.7677697,3,OSM
Indian Railways Institute of Civil Engineering,College,18.5287068,73.8755212,3,OSM
College of Military Engineering,College,18.5966642,73.8458605,3,OSM
Foundation for Liberal And Management Education (FLAME) Pune,College,18.5238151,73.7308633,3,OSM
D. Y. Patil Educational Complex,College,18.6460655,73.7595862,3,OSM
College of Agricultural Banking,College,18.5372452,73.8369728,3,OSM
AISSMS College of Hotel Management,College,18.526896,73.8543202,3,OSM
National Institute Of Bank Management,College,18.475327,73.8997198,3,OSM
Film and Television Institute of India,College,18.5132603,73.826542,3,OSM
Unknown College,College,18.5178535,73.8409504,3,OSM
Bhandarkar Oriental Research Institute,College,18.5193463,73.8291789,3,OSM
Abasaheb Garware College,College,18.5116932,73.8387677,3,OSM
Fergusson College,College,18.5240695,73.8388337,3,OSM
Gokhale Institute of Politics and Economics,College,18.5206084,73.8369524,3,OSM
Institute of Management Development and Research,College,18.5206074,73.8381567,3,OSM
Marathwada Mitramandal College of Commerce,College,18.5205017,73.8388189,3,OSM
SNDT Women's University,College,18.5088698,73.8274077,3,OSM
"Industrial Training Institute, Aundh",College,18.5589453,73.8115064,3,OSM
Tilak Maharashtra Vidyapeeth,College,18.4934626,73.8649299,3,OSM
Vishwakarma Institute of Technology (VIT),College,18.4637427,73.8683375,3,OSM
Azam Campus,College,18.5042882,73.8764661,3,OSM
Shahu College,College,18.4917341,73.8446237,3,OSM
Maharashtra Institute of Technology World Peace University,College,18.5182017,73.8152712,3,OSM
Magarpatta Institute Of Management & Technology,College,18.5176124,73.9202514,3,OSM
Symbiosis Institute of Management Studies (SIMS),College,18.5485516,73.8394372,3,OSM
Symbiosis International University,College,18.5337638,73.7295155,3,OSM
Abhinav Kala Mahavidyalaya,College,18.5054546,73.8532324,3,OSM
Dhondumama Sathe Homoeopathic Medical College,College,18.5097626,73.836558,3,OSM
Ashtang Ayurved Mahavidyalaya,College,18.5062866,73.8509751,3,OSM
Indian Institute of Science Education and Research,College,18.5454002,73.8071522,3,OSM
SSPP College,College,18.5170709,73.8158193,3,OSM
MIT School of Management,College,18.5159552,73.8150124,3,OSM
Bharati Vidyapeeth,College,18.5136169,73.819834,3,OSM
Krushi Mahavidyalay,College,18.5380118,73.8435671,3,OSM
Government Polytechnic Pune,College,18.5380811,73.8324327,3,OSM
Spicer Adventist University,College,18.5659264,73.8196034,3,OSM
PVG's College of Engineering and Technology,College,18.4898635,73.8525527,3,OSM
MIT School of Business,College,18.5159551,73.8158337,3,OSM
Tilak Ayurveda Mahavidyalay,College,18.5183694,73.8625663,3,OSM
Maharashtra State Institute of Hotel Management and Catering Technology,College,18.531161,73.8320983,3,OSM
Ranade Institute,College,18.5191163,73.8407178,3,OSM
Symbiosis College of Arts & Commerce,College,18.5224663,73.8298429,3,OSM
AISSMS,College,18.5310387,73.8657568,3,OSM
Rajiv Gandhi Academy of E-Learning,College,18.4921425,73.8538125,3,OSM
DYP COE,College,18.6449639,73.7582388,3,OSM
ground clg,College,18.5309669,73.8562605,3,OSM
"Sinhagad Junior College of Arts, Science and Commerce",College,18.4617651,73.8327837,3,OSM
MIS International School,College,18.5755836,73.7658971,3,OSM
Modern College,College,18.5413635,73.8278917,3,OSM
St. Mira's College,College,18.5349476,73.8864578,3,OSM
Symbiosis International University (Hill-base),College,18.5408698,73.727469,3,OSM
Zeal Education Society,College,18.4489519,73.8249182,3,OSM
ATSS College,College,18.6387446,73.796076,3,OSM
Symbiosis International,College,18.5757257,73.9087771,3,OSM
SKP Campus,College,18.572833,73.7738116,3,OSM
College of Engineering,College,18.5341345,73.8802248,3,OSM
Sinhagad College Wadgaon Campus,College,18.4667216,73.835006,3,OSM
Balaji Institute,College,18.6102723,73.7547804,3,OSM
Indira Group of Institute (IGI),College,18.609505,73.7503099,3,OSM
D.Y. Patil,College,18.6147774,73.7496202,3,OSM
Bharati Vidyapeeth Campus,College,18.4577521,73.8544558,3,OSM
Sinhgad Institute of Technology and Scinece,College,18.4550836,73.8183618,3,OSM
JSPM Institute,College,18.6179787,73.7488255,3,OSM
Savitribai Phule Pune University,College,18.5512351,73.8261069,3,OSM
Abhinav Kala Mahavidyalay,College,18.5439819,73.7796135,3,OSM
Unknown College,College,18.6340572,73.7779881,3,OSM
Centre for Development Studies and Activities,College,18.5068621,73.7710024,3,OSM
Centre for Development Studies and Activities,College,18.5071552,73.773957,3,OSM
Dy Patil Ground,College,18.6474736,73.75871,3,OSM
International School of Business and Media,College,18.5437119,73.7334391,3,OSM
H. V. Desai College,College,18.5182597,73.8559604,3,OSM
Dr. D. Y. Patil ACS Junior College,College,18.6444663,73.7586862,3,OSM
S. B Patil College,College,18.650608,73.7452413,3,OSM
international institute of information technology,College,18.5846339,73.736943,3,OSM
PICT CAMPUS,College,18.457842,73.8508247,3,OSM
Solus Complex,College,18.6104067,73.7210021,3,OSM
S M Joshi College,College,18.5034438,73.9367089,3,OSM
Universe Campus,College,18.6116904,73.7487811,3,OSM
Maharshi Karve Stree Shikshan Samstha's School of Fashion Technology,College,18.4437889,73.8335631,3,OSM
Tapasya Campus,College,18.6108328,73.7505478,3,OSM
JSPM Group Of Institutes,College,18.4723248,73.9369676,3,OSM
Dr. D. Y. Patil Medical College and Hospital,College,18.6233046,73.8231578,3,OSM
Smt Kashibai Navale Medical College and Hospital,College,18.4560161,73.8221313,3,OSM
PDEA Shankarrao Ursal College of Pharmacy,College,18.5477193,73.9446588,3,OSM
Pimpri Chinchwad College of Engineering and Research,College,18.6513847,73.7453599,3,OSM
D Y Patil Dental School,College,18.6203253,73.9109239,3,OSM
Sardar Patel Cantonment General Hospital,Hospital,18.5027163,73.87712,3,OSM
Dr. Babasaheb Ambedkar Cantonment General Hospital,Hospital,18.569025,73.8486994,3,OSM
Command Hospital Southern Command,Hospital,18.5005828,73.8894328,3,OSM
Sassoon Hospital,Hospital,18.5251434,73.8695664,3,OSM
Sanjeevani Vitalife Medipoint Hospital,Hospital,18.5649263,73.8022626,3,OSM
LifeLine Hospital,Hospital,18.5597445,73.8062674,3,OSM
Dr. Chowdhary,Hospital,18.5547291,73.8082012,3,OSM
Dr. Bonagiri,Hospital,18.5554816,73.8088556,3,OSM
Shree Sakthi Hospital,Hospital,18.5883392,73.8015444,3,OSM
Karva Hospital,Hospital,18.5009733,73.8461063,3,OSM
Jeevan Deep Medicare Centre,Hospital,18.5433023,73.7838607,3,OSM
Sahyadri Hospital,Hospital,18.5074625,73.8057842,3,OSM
"Krishna Hospital, Pune",Hospital,18.5092055,73.8128199,3,OSM
Madhukar General Hospital,Hospital,18.4789234,73.8241232,3,OSM
Dr. Naik Clinic,Hospital,18.4745644,73.8140764,3,OSM
Shewale Hospital,Hospital,18.5626652,73.8325327,3,OSM
Trimurti Hospital,Hospital,18.462396,73.8150518,3,OSM
Sanjiwini Hospital,Hospital,18.4433669,73.848079,3,OSM
Surya Sahyadri Hospital,Hospital,18.521259,73.8556767,3,OSM
Fatima Convent Sahyadri Clinic,Hospital,18.5045156,73.9008129,3,OSM
Gupte Hospital Of Accurate Diagnostics Pvt Ltd,Hospital,18.519051,73.8398724,3,OSM
AIMS Hospital,Hospital,18.5625409,73.8106962,3,OSM
"Naik Hospital, Pune",Hospital,18.5102879,73.8594694,3,OSM
Satyanand Hospital,Hospital,18.4707709,73.8886878,3,OSM
Bora Hospital,Hospital,18.511463,73.8625468,3,OSM
Patil Hospital,Hospital,18.4791887,73.8247015,3,OSM
Sahyadri Hospital,Hospital,18.5029092,73.9277341,3,OSM
NON,Hospital,18.5098623,73.9286042,3,OSM
Unknown Hospital,Hospital,18.4831808,73.8273409,3,OSM
Apple Hospital,Hospital,18.5884835,73.7802163,3,OSM
Metro Chemist,Hospital,18.4598178,73.7859551,3,OSM
Damle Pediatric & general practice,Hospital,18.4602735,73.7856466,3,OSM
Golwilkar Metropolis Heath Service (India) Pvt Ltd,Hospital,18.5181296,73.8344155,3,OSM
Paranjape Hospital,Hospital,18.5143979,73.8460515,3,OSM
"Spandan Hospital, Pune",Hospital,18.6141649,73.765762,3,OSM
Ashakiran Hospital,Hospital,18.5719235,73.7811374,3,OSM
Pawar Surgical Hospital,Hospital,18.5012035,73.9379293,3,OSM
Pulse Hospital,Hospital,18.4594817,73.8233106,3,OSM
ONP Leela Hospital,Hospital,18.5329215,73.8468085,3,OSM
Meera Hospital,Hospital,18.5022882,73.8746894,3,OSM
Seth Ramdas Shah Memorial Hospital and Research Centre,Hospital,18.5293628,73.8284091,3,OSM
Ashwini Hospital,Hospital,18.576745,73.7757678,3,OSM
NRS hospital,Hospital,18.6007211,73.7751811,3,OSM
Unknown Hospital,Hospital,18.571183,73.7948972,3,OSM
Nityanand Rehabilitation and Residential Mental Heal,Hospital,18.4565508,73.8515434,3,OSM
Yashda Hospital,Hospital,18.5168084,73.859535,3,OSM
Mohite Eye Hospital,Hospital,18.5006535,73.936556,3,OSM
Joglekar Hospital,Hospital,18.5327524,73.8336359,3,OSM
"Rakshak Hospital, Pune",Hospital,18.5628712,73.9377429,3,OSM
Parmar Multi Speciality Hospital and Maternity Home,Hospital,18.5600564,73.8072065,3,OSM
Chaitanya Centre For Psychological Help,Hospital,18.4795175,73.8043727,3,OSM
Mothercare Hospital,Hospital,18.4872463,73.8760145,3,OSM
"Sahyadri Hospital, Bibvewadi",Hospital,18.4781739,73.862105,3,OSM
Bhalerao ENT Hospital & Laser Centre,Hospital,18.6495394,73.7777303,3,OSM
Siddhi Health Care Center,Hospital,18.5857676,73.818174,3,OSM
Argade Infertility and Endoscopic Surgery and Icu Center,Hospital,18.5017523,73.8102353,3,OSM
Shree Balaji Eye Hospital,Hospital,18.4910283,73.8581684,3,OSM
Chaitanya Stem Cell Center,Hospital,18.5000189,73.8503981,3,OSM
Shree Shakti Hospital,Hospital,18.5887256,73.8014048,3,OSM
"Welfare Medical Foundatios, Mohintara Hospital",Hospital,18.5034761,73.9291031,3,OSM
"Pawar Hospital, Pune",Hospital,18.4658771,73.8601231,3,OSM
Galaxy Care Laparoscopy Institute Pvt. Ltd.,Hospital,18.5110031,73.837105,3,OSM
Punarvasu Chikitsalaya,Hospital,18.5284781,73.8423179,3,OSM
Ushakiran General Hospital,Hospital,18.5019965,73.9348286,3,OSM
"Sangam Hospital, Pune",Hospital,18.4757105,73.8578707,3,OSM
"Zenith Hospital, Pune",Hospital,18.5025879,73.9294803,3,OSM
Umarji Hospital,Hospital,18.5119352,73.857758,3,OSM
Amrut Hospital,Hospital,18.6098278,73.8017106,3,OSM
Latkar Hospital,Hospital,18.5609006,73.8132226,3,OSM
Lunkad Hospital,Hospital,18.5840808,73.833248,3,OSM
Shashwat Hospital,Hospital,18.4948349,73.8135271,3,OSM
Medipoint Hospital,Hospital,18.5623861,73.933849,3,OSM
Indira Maternity Home,Hospital,18.5122188,73.8762961,3,OSM
"Bhoir Hospital, Pune",Hospital,18.6142278,73.7647042,3,OSM
Alatkar Hospital,Hospital,18.5018572,73.9322779,3,OSM
Pimpri Chinchwad (Pcip) Institute Of Paediatrics,Hospital,18.6185477,73.803735,3,OSM
Rode Hospital,Hospital,18.6186748,73.8699487,3,OSM
Ranka Hospital,Hospital,18.4950117,73.861886,3,OSM
Niramaya Hospital,Hospital,18.6394848,73.7967941,3,OSM
Bhide Hospital,Hospital,18.5048666,73.8443399,3,OSM
Poona Laser Center,Hospital,18.5123701,73.8381752,3,OSM
Siddhant Maternity Home,Hospital,18.4792694,73.8566422,3,OSM
Remedy Hospital,Hospital,18.5005568,73.9365077,3,OSM
Amit Hospital,Hospital,18.5463494,73.8880362,3,OSM
"Kaushal Hospital, Pune",Hospital,18.6186926,73.7992403,3,OSM
"Purandare Hospital, Pune",Hospital,18.5022916,73.8586646,3,OSM
Pramodini Urology Foundation,Hospital,18.5199125,73.8410217,3,OSM
Harsh Hospital,Hospital,18.4802908,73.8662057,3,OSM
Shraddha Hospital,Hospital,18.5019482,73.9315805,3,OSM
Salunke Hospital,Hospital,18.5585931,73.9273694,3,OSM
Moolanis Eye Care Centre,Hospital,18.5057737,73.8783494,3,OSM
Gokhale Hospital,Hospital,18.502172,73.857062,3,OSM
"Sushrut Hospital, Chinchwad",Hospital,18.6283685,73.8129256,3,OSM
Wankhede Hospital,Hospital,18.4724656,73.8888207,3,OSM
Pune Fertility Center,Hospital,18.5287757,73.8479868,3,OSM
Jagtap Hospital,Hospital,18.4774187,73.8237825,3,OSM
Joshi Hospital,Hospital,18.5171772,73.8332118,3,OSM
"Lifeline Hospital, Pune",Hospital,18.5875463,73.8625391,3,OSM
Dr Patwardhan Hospital,Hospital,18.4573697,73.8507923,3,OSM
Sainath Orthopaedic Hospital,Hospital,18.6182834,73.8028754,3,OSM
Shri Samarth Hospital,Hospital,18.5180616,73.865867,3,OSM
Mai Mangeshkar Hospital,Hospital,18.4851843,73.7997318,3,OSM
Kamal Netra Rugnalaya,Hospital,18.4949914,73.81219,3,OSM
Kulkarni Hospital and Diagnostic Centre,Hospital,18.4851967,73.8092832,3,OSM
Khares Eye Institute,Hospital,18.5145168,73.8317379,3,OSM
Dr Chavans Fracture and Orthopaedic Center,Hospital,18.4785979,73.8238536,3,OSM
Gultekdi Nursing and Maternity Home,Hospital,18.4926804,73.8685472,3,OSM
Agarwal Maternity and General Hospital,Hospital,18.5588804,73.931217,3,OSM
Ashakiran Hospital,Hospital,18.5158253,73.8474959,3,OSM
Sant Dnyaneswar Medical Education Research Centre,Hospital,18.5137805,73.8476971,3,OSM
Kohakade Hospital,Hospital,18.5628578,73.9320606,3,OSM
Dr. Karve Childrens Hospital,Hospital,18.5252254,73.8499763,3,OSM
Yashashree Maternity and Nursing Home,Hospital,18.4886651,73.8502412,3,OSM
New Life Children Hospital,Hospital,18.6146396,73.7856428,3,OSM
Vinayak Netralaya - Pune,Hospital,18.5105851,73.817981,3,OSM
Seva Hospital,Hospital,18.5748353,73.8277468,3,OSM
Mams Sumatibhai Shah Ayurved Mahavidyalayas,Hospital,18.5035837,73.9387286,3,OSM
Abane Hospital,Hospital,18.4994516,73.9377093,3,OSM
Rahel Hospital,Hospital,18.5152906,73.8754553,3,OSM
Nachiket Hospital Pvt Ltd,Hospital,18.5076864,73.831062,3,OSM
Sai Shree Orthopaedic Super Speciality and Joint Replacement Centre,Hospital,18.5601581,73.8052712,3,OSM
Shahade Hospital,Hospital,18.4978682,73.8537562,3,OSM
Dada Laser Eye Institute,Hospital,18.5109382,73.8799037,3,OSM
Dr.Prakash Katariya Laser Cure,Hospital,18.5223591,73.8441311,3,OSM
"Siddharth Hospital, Pune",Hospital,18.4900578,73.8684641,3,OSM
Anjali Hospital,Hospital,18.6200124,73.8010407,3,OSM
Dr.Purohit Nursing Home,Hospital,18.490344,73.8443121,3,OSM
"Pooja Hospital, Pune",Hospital,18.5891781,73.8190953,3,OSM
Sahyadri Hospital Hadapsar,Hospital,18.5031602,73.9321491,3,OSM
Siddhi Hospital and Laproscopy Centre Pvt Ltd,Hospital,18.464116,73.859008,3,OSM
Nande Hospital,Hospital,18.5011902,73.9383772,3,OSM
PBMA's H V Desai Eye Hospital,Hospital,18.4722952,73.9237216,3,OSM
"Phoenix Hospital, Pune",Hospital,18.6047183,73.7761981,3,OSM
Suraj Hospital,Hospital,18.4814034,73.8724713,3,OSM
Moraya Hospital,Hospital,18.5821441,73.8283718,3,OSM
Desai Hospital,Hospital,18.6337676,73.8493024,3,OSM
"Mohintara Hospital, Hadapsar",Hospital,18.5008462,73.9305311,3,OSM
Chinchanikar Hospital,Hospital,18.4785438,73.8235485,3,OSM
"Chaitanya Hospital, Bhaghirathi Nagar",Hospital,18.4778296,73.7977711,3,OSM
Dr Sarawat Memorial Hospital,Hospital,18.4705427,73.8878018,3,OSM
"Anand Hospital, Bhosari",Hospital,18.621807,73.8514093,3,OSM
Vinod Memorial Multispeciality Hospital,Hospital,18.5732119,73.8774723,3,OSM
Medlife Multispeciality Hospital and Icu,Hospital,18.6191718,73.7912714,3,OSM
Om Hospital,Hospital,18.5292449,73.830716,3,OSM
Bagade Hospital For Women and Maternity Home,Hospital,18.5964845,73.8300374,3,OSM
Ruby Ailcare Superspeciality Cardiac Care Centre,Hospital,18.6214797,73.8208455,3,OSM
Pune Adventist Hospital;advantist hospital,Hospital,18.491944,73.8710202,3,OSM
Mahajan Hospital,Hospital,18.4840672,73.857003,3,OSM
Om Prasuti Graha,Hospital,18.5470843,73.8885243,3,OSM
"Shreenath Hospital, Pune",Hospital,18.5211129,73.906766,3,OSM
Subodh Hospital,Hospital,18.5035234,73.8137605,3,OSM
"Pai Hospital, Pune",Hospital,18.4689649,73.8572026,3,OSM
Chinmay Institute Of Paediatrics,Hospital,18.5083289,73.8457009,3,OSM
Patil Hospital - Pune,Hospital,18.4797674,73.8251685,3,OSM
Paras Polyclinic and General Hospital,Hospital,18.6436414,73.7710556,3,OSM
Shree.J.Hospital,Hospital,18.4653028,73.864194,3,OSM
Pataskar Hospital,Hospital,18.6460596,73.8499998,3,OSM
Paranjpe Eye Clinic and Eye Surgery Centre,Hospital,18.5183547,73.8404001,3,OSM
Ushakiran Eye Hospital,Hospital,18.6133992,73.7664382,3,OSM
Aai Maternity Hospital and Nursing Home,Hospital,18.6175138,73.8492092,3,OSM
K. K. Hospital - Pune,Hospital,18.5626283,73.938176,3,OSM
Ace Hospital,Hospital,18.504933,73.8303593,3,OSM
Jeewan Jyot Multispeciality Medical Care Center,Hospital,18.5569451,73.9074788,3,OSM
Pooja Hospital,Hospital,18.5023551,73.9288205,3,OSM
Chandra Hospital,Hospital,18.4522084,73.890656,3,OSM
Vaibhavi Hospital,Hospital,18.4994249,73.9469039,3,OSM
"Ankur Hospital, Shivaji Nagar",Hospital,18.6062334,73.7729748,3,OSM
Saidham Hospital,Hospital,18.6195467,73.8433908,3,OSM
Global Hospital & Research Institute,Hospital,18.5013237,73.8410144,3,OSM
"Lokmanya Hospital, Pune",Hospital,18.5089079,73.834105,3,OSM
Sai Sneh Hospital and Diagnostic Centre Pvt Ltd,Hospital,18.4465478,73.8597831,3,OSM
"Kabre Orthopedic, Spine and Dental Centre",Hospital,18.6490413,73.8076058,3,OSM
"Chavan hospital, Pune",Hospital,18.6332402,73.8167819,3,OSM
Padam.Dr.D.Y.Patil Hospital and Research Centre,Hospital,18.6240215,73.8212612,3,OSM
Lohade Hospital,Hospital,18.6405777,73.7945558,3,OSM
"Lodha Hospital, Pune",Hospital,18.4833651,73.8004071,3,OSM
