place_id,name,latitude,longitude,rating,user_ratings_total,location_score,success_label,daily_footfall,footfall_category,monthly_revenue,profitability,index_right,cell_id,distance_to_cell_center,center_lat,center_lon,competitor_count,nearest_m,road_density_km,major_dist_m,commercial_rent_per_sqft,rental_zone,tier,confidence,locality,locality_dist_m,total_population,ward_id,ward_name,ward_zone,ward_dist_m,footfall_generator_count,nearest_generator_m,transit_stop_count,nearest_transit_m,avg_monthly_income,property_price_sqft,purchasing_power_index,income_tier,distance_to_city_center,rent_to_income_ratio,transit_accessibility_score,footfall_accessibility_score,competition_density,market_saturation,connectivity_score,main_category,retail_competition_score,rent_affordability,parking_accessibility,retail_density,visibility_score,market_opportunity
ChIJuUxSd_GWwjsRAAAAcM61Sno,VIJAY PAN STALL,18.4172619,73.7175942,5.0,3,100.0,1,10,Low,45000,Low,181,cell_181,0.0026797363873089,18.41917770293615,73.7157205174721,3,0.0,19168.927271195455,0.0,15.79,South Pune,Grade C,High,Narhe,9789.631617993626,77606,PMC_6,Warje Malwadi,PMC,11963.421505054666,1,4547.773792333102,1,5360.907551841443,45000.0,5000.0,57.69,Unknown,18648.414300568205,0.0006303359340926,0.1572102709951359,0.1802524827854331,0.0381650255705671,0.3424422984727073,19168.927271195455,retail_general,2.5418290101113836,0.0003508810915312993,0.1572102709951359,0.0381650255705671,3455.2467329663777,0.17362604050966543
ChIJRcGUeQiXwjsRigY9g50MIvE,Vishal Vegetables,18.4161784,73.7223755,4.0,1,80.0,1,10,Low,36000,Low,239,cell_239,0.0025047027469959,18.41491617582589,73.7202120938927,1,0.0,1771.693764561799,0.0,15.79,South Pune,Grade C,High,Narhe,9606.960162435067,82537,PMC_32,Narhe,PMC,11800.711062499637,1,4122.038786783586,1,4913.194117276147,45000.0,5000.0,57.69,Unknown,18568.719724670776,0.0006303359340926,0.1691133387754637,0.1952347574134548,0.0119707435028789,0.108064882155246,1771.693764561799,retail_general,0.83665572290087,0.0003508810915312993,0.1691133387754637,0.0119707435028789,345.89620233515336,0.19292529815403642
ChIJK86LBACXwjsRLQBFEdsSvI4,Anusaya Flour Mill & DC Mobile shop,18.4118661,73.70636979999999,4.3,3,86.0,1,10,Low,38700,Low,61,cell_61,0.0012660859691276,18.41065454318197,73.70673736463091,2,0.0,13893.556289525292,0.0,15.79,South Pune,Grade C,High,Narhe,11149.845433392702,77606,PMC_6,Warje Malwadi,PMC,13373.716680470136,1,5695.544247024441,1,6412.6869682800025,45000.0,5000.0,57.69,Unknown,19976.985502909654,0.0006303359340926,0.1349038485341617,0.1493530567652373,0.025443350380378,0.2282948656484715,13893.556289525292,retail_general,1.740109349540376,0.0003508810915312993,0.1349038485341617,0.025443350380378,2075.0451011804907,0.1456473014426748
ChIJaQYoCJaXwjsRrbrYxpp9IUE,Gokul Super Shopee,18.4004391,73.7332709,5.0,1,100.0,1,10,Low,45000,Low,413,cell_413,0.0017422362037019,18.40213096137701,73.7336868231545,9,0.0,17666.598581108567,0.0,15.79,South Pune,Grade C,High,Narhe,9362.909409067037,82537,PMC_32,Narhe,PMC,11104.140288268058,1,3378.969967634573,1,3536.9806562820804,45000.0,5000.0,57.69,Unknown,18473.8928609572,0.0006303359340926,0.2204109022627991,0.2283642060555576,0.1077366915259106,0.972583939397214,17666.598581108567,retail_general,7.326817205867801,0.0003508810915312993,0.2204109022627991,0.1077366915259106,4034.418758677098,0.20615387014127448
ChIJkzd8omyXwjsRJ0_esVJEzmU,Manerwadi Phata,18.3964347,73.72708589999999,4.6,7,92.0,1,10,Low,41400,Low,354,cell_354,0.0060742684595838,18.40213096137701,73.7291952467339,1,97.62330345530064,5596.227433259315,166.03245014176832,15.79,South Pune,Grade C,High,Narhe,9724.002052767728,82537,PMC_32,Narhe,PMC,11535.91130656436,1,3785.274965637952,1,4021.556804422091,45000.0,5000.0,57.69,Unknown,18809.630313526097,0.0006303359340926,0.1991414294306854,0.2089744073602434,0.0119707435028789,0.108064882155246,4799.375379800893,retail_general,0.8271473688044959,0.0003508810915312993,0.1991414294306854,0.0119707435028789,1169.4683113185015,0.20650241985938292
ChIJ8xeu_zCXwjsReP_FoQvjTbA,King Hardware and Electircals,18.398476,73.73134879999999,5.0,2,100.0,1,10,Low,45000,Low,354,cell_354,0.0042422322352036,18.40213096137701,73.7291952467339,1,97.62330345530064,5596.227433259315,166.03245014176832,15.79,South Pune,Grade C,High,Narhe,9724.002052767728,82537,PMC_32,Narhe,PMC,11535.91130656436,1,3785.274965637952,1,4021.556804422091,45000.0,5000.0,57.69,Unknown,18809.630313526097,0.0006303359340926,0.1991414294306854,0.2089744073602434,0.0119707435028789,0.108064882155246,4799.375379800893,retail_general,0.8271473688044959,0.0003508810915312993,0.1991414294306854,0.0119707435028789,1169.4683113185015,0.20650241985938292
ChIJ1SAuYLyWwjsRbn4320aCMFE,JAY LAXMI TRADING COMPANY,18.4000341,73.73340859999999,1.3,3,26.0,0,10,Low,11700,Low,413,cell_413,0.0021152389364149,18.40213096137701,73.7336868231545,9,0.0,17666.598581108567,0.0,15.79,South Pune,Grade C,High,Narhe,9362.909409067037,82537,PMC_32,Narhe,PMC,11104.140288268058,1,3378.969967634573,1,3536.9806562820804,45000.0,5000.0,57.69,Unknown,18473.8928609572,0.0006303359340926,0.2204109022627991,0.2283642060555576,0.1077366915259106,0.972583939397214,17666.598581108567,retail_general,7.326817205867801,0.0003508810915312993,0.2204109022627991,0.1077366915259106,4034.418758677098,0.20615387014127448
ChIJEUex9ryWwjsR8_1tLmxJ6V4,Shreenath Chicken Center,18.4000196,73.7334149,5.0,3,100.0,1,10,Low,45000,Low,413,cell_413,0.0021287999122282,18.40213096137701,73.7336868231545,9,0.0,17666.598581108567,0.0,15.79,South Pune,Grade C,High,Narhe,9362.909409067037,82537,PMC_32,Narhe,PMC,11104.140288268058,1,3378.969967634573,1,3536.9806562820804,45000.0,5000.0,57.69,Unknown,18473.8928609572,0.0006303359340926,0.2204109022627991,0.2283642060555576,0.1077366915259106,0.972583939397214,17666.598581108567,retail_general,7.326817205867801,0.0003508810915312993,0.2204109022627991,0.1077366915259106,4034.418758677098,0.20615387014127448
ChIJw81pUvGXwjsRHTSoJQq4tdI,Shravan pan shop & ice Cream,18.3991118,73.73258469999999,5.0,2,100.0,1,10,Low,45000,Low,413,cell_413,0.0032140334267344,18.40213096137701,73.7336868231545,9,0.0,17666.598581108567,0.0,15.79,South Pune,Grade C,High,Narhe,9362.909409067037,82537,PMC_32,Narhe,PMC,11104.140288268058,1,3378.969967634573,1,3536.9806562820804,45000.0,5000.0,57.69,Unknown,18473.8928609572,0.0006303359340926,0.2204109022627991,0.2283642060555576,0.1077366915259106,0.972583939397214,17666.598581108567,retail_general,7.326817205867801,0.0003508810915312993,0.2204109022627991,0.1077366915259106,4034.418758677098,0.20615387014127448
ChIJZfsqewCXwjsRs09EoMwFyQs,SHREE RAM HARDWARE,18.3984733,73.7319219,5.0,1,100.0,1,10,Low,45000,Low,413,cell_413,0.0040612117022129,18.40213096137701,73.7336868231545,9,0.0,17666.598581108567,0.0,15.79,South Pune,Grade C,High,Narhe,9362.909409067037,82537,PMC_32,Narhe,PMC,11104.140288268058,1,3378.969967634573,1,3536.9806562820804,45000.0,5000.0,57.69,Unknown,18473.8928609572,0.0006303359340926,0.2204109022627991,0.2283642060555576,0.1077366915259106,0.972583939397214,17666.598581108567,retail_general,7.326817205867801,0.0003508810915312993,0.2204109022627991,0.1077366915259106,4034.418758677098,0.20615387014127448
ChIJg60oUNSXwjsRV7uRC0MCzSI,Ashtavinayak Medical,18.3990808,73.73276849999999,5.0,1,100.0,1,10,Low,22500,Low,413,cell_413,0.0031854045020905,18.40213096137701,73.7336868231545,9,0.0,17666.598581108567,0.0,15.79,South Pune,Grade C,High,Narhe,9362.909409067037,82537,PMC_32,Narhe,PMC,11104.140288268058,1,3378.969967634573,1,3536.9806562820804,45000.0,5000.0,57.69,Unknown,18473.8928609572,0.0006303359340926,0.2204109022627991,0.2283642060555576,0.1077366915259106,0.972583939397214,17666.598581108567,retail_general,7.326817205867801,0.0003508810915312993,0.2204109022627991,0.1077366915259106,4034.418758677098,0.20615387014127448
ChIJm3hxZLyWwjsRdsx1A_CMm1M,Mataji Sweets,18.3990486,73.73273739999999,5.0,2,100.0,1,10,Low,45000,Low,413,cell_413,0.0032252683585756,18.40213096137701,73.7336868231545,9,0.0,17666.598581108567,0.0,15.79,South Pune,Grade C,High,Narhe,9362.909409067037,82537,PMC_32,Narhe,PMC,11104.140288268058,1,3378.969967634573,1,3536.9806562820804,45000.0,5000.0,57.69,Unknown,18473.8928609572,0.0006303359340926,0.2204109022627991,0.2283642060555576,0.1077366915259106,0.972583939397214,17666.598581108567,retail_general,7.326817205867801,0.0003508810915312993,0.2204109022627991,0.1077366915259106,4034.418758677098,0.20615387014127448
ChIJS9ExOKqXwjsRmIVP2FJq-aw,धनंजय सपकाळ गणेश सपकाळ,18.3996622,73.73349929999999,2.5,2,50.0,0,10,Low,22500,Low,413,cell_413,0.0024758731126836,18.40213096137701,73.7336868231545,9,0.0,17666.598581108567,0.0,15.79,South Pune,Grade C,High,Narhe,9362.909409067037,82537,PMC_32,Narhe,PMC,11104.140288268058,1,3378.969967634573,1,3536.9806562820804,45000.0,5000.0,57.69,Unknown,18473.8928609572,0.0006303359340926,0.2204109022627991,0.2283642060555576,0.1077366915259106,0.972583939397214,17666.598581108567,retail_general,7.326817205867801,0.0003508810915312993,0.2204109022627991,0.1077366915259106,4034.418758677098,0.20615387014127448
ChIJaTaVB6CWwjsREg5o25qT3BU,Mechmann Water Solution Systems Pvt. Ltd.,18.4045222,73.7477672,4.5,12,90.0,1,10,Low,40500,Low,591,cell_591,0.0019662075568276,18.406392805025355,73.7471615524163,6,0.0,11771.481780484715,0.0,15.79,South Pune,Grade C,High,Narhe,7977.386976727551,82537,PMC_32,Narhe,PMC,9566.553316757594,1,1962.7108591529104,1,1960.2966462286429,45000.0,5000.0,57.69,Unknown,17151.745518188138,0.0006303359340926,0.3378039836899384,0.3375287186431405,0.0718244610172737,0.6483892929314761,11771.481780484715,retail_general,4.485884988014849,0.0003508810915312993,0.3378039836899384,0.0718244610172737,3973.2131618980798,0.31491044561792364
ChIJtbUP3B-UwjsR1DhPgX9ushE,The Indian Electric Co - Gorhe Khurd,18.4034455,73.74820989999999,4.4,21,88.0,1,10,Medium,39600,Low,590,cell_590,0.0016813817078669,18.40213096137701,73.7471615524163,1,0.0,7122.116066589969,0.0,15.79,South Pune,Grade C,High,Narhe,8365.861739408032,82537,PMC_32,Narhe,PMC,9847.638150713748,1,2384.2886721723457,1,2126.5397381835146,45000.0,5000.0,57.69,Unknown,17505.01144718462,0.0006303359340926,0.3198424084579168,0.2954830680439883,0.0119707435028789,0.108064882155246,7122.116066589969,retail_general,0.7719128290189625,0.0003508810915312993,0.3198424084579168,0.0119707435028789,2104.464706321386,0.29198775749305805
ChIJT_x7KZaVwjsReW1r4hpxK3c,SWAPNPURTI CARS PVT LTD,18.4206713,73.7555627,4.8,39,96.0,1,10,Medium,43200,Low,712,cell_712,0.0016029854362651,18.41917770293615,73.75614470525748,2,0.0,15382.855911110257,0.0,15.79,South Pune,Grade C,High,Narhe,6189.313155553363,82537,PMC_32,Narhe,PMC,7943.374707548485,1,180.8347399724681,1,979.964112945214,45000.0,5000.0,57.69,Unknown,15464.68743913149,0.0006303359340926,0.5050596591432616,0.8468585536561328,0.0239414870057579,0.216129764310492,15382.855911110257,retail_general,1.0829199648455485,0.0003508810915312993,0.5050596591432616,0.0239414870057579,13027.103107983525,0.8270575656940549
ChIJa7Hq-J-WwjsRyZ525Csj1SU,Shreenath Super Market,18.4051745,73.7471736,5.0,1,100.0,1,10,Low,45000,Low,591,cell_591,0.0012183645920149,18.406392805025355,73.7471615524163,6,0.0,11771.481780484715,0.0,15.79,South Pune,Grade C,High,Narhe,7977.386976727551,82537,PMC_32,Narhe,PMC,9566.553316757594,1,1962.7108591529104,1,1960.2966462286429,45000.0,5000.0,57.69,Unknown,17151.745518188138,0.0006303359340926,0.3378039836899384,0.3375287186431405,0.0718244610172737,0.6483892929314761,11771.481780484715,retail_general,4.485884988014849,0.0003508810915312993,0.3378039836899384,0.0718244610172737,3973.2131618980798,0.31491044561792364
ChIJKZzPH5GVwjsRRtBaffXSdMM,Vighnaharta industries & Royal kids school furniture,18.4049846,73.7476641,5.0,4,100.0,1,10,Low,45000,Low,591,cell_591,0.0014951907795711,18.406392805025355,73.7471615524163,6,0.0,11771.481780484715,0.0,15.79,South Pune,Grade C,High,Narhe,7977.386976727551,82537,PMC_32,Narhe,PMC,9566.553316757594,1,1962.7108591529104,1,1960.2966462286429,45000.0,5000.0,57.69,Unknown,17151.745518188138,0.0006303359340926,0.3378039836899384,0.3375287186431405,0.0718244610172737,0.6483892929314761,11771.481780484715,retail_general,4.485884988014849,0.0003508810915312993,0.3378039836899384,0.0718244610172737,3973.2131618980798,0.31491044561792364
ChIJHWbEGFiXwjsRo3flaHw_JXg,SAMRUDDHI CATERING SERVICES AND EVENTS,18.4050861,73.7488837,5.0,2,100.0,1,10,Low,45000,Low,591,cell_591,0.0021617748086488,18.406392805025355,73.7471615524163,6,0.0,11771.481780484715,0.0,15.79,South Pune,Grade C,High,Narhe,7977.386976727551,82537,PMC_32,Narhe,PMC,9566.553316757594,1,1962.7108591529104,1,1960.2966462286429,45000.0,5000.0,57.69,Unknown,17151.745518188138,0.0006303359340926,0.3378039836899384,0.3375287186431405,0.0718244610172737,0.6483892929314761,11771.481780484715,retail_general,4.485884988014849,0.0003508810915312993,0.3378039836899384,0.0718244610172737,3973.2131618980798,0.31491044561792364
ChIJO9CrkN2VwjsReJ3d8FfBhOQ,Sinhagadcha Basundi Chaha,18.4208696,73.76242500000001,5.0,8,100.0,1,10,Low,45000,Low,771,cell_771,0.0024621187846817,18.41917770293615,73.76063628167807,1,0.0,932.2976848875746,0.0,15.79,South Pune,Grade C,High,Narhe,5866.468615587316,82537,PMC_32,Narhe,PMC,7504.790710815281,1,82.59855561261065,1,611.3706683632543,45000.0,5000.0,57.69,Unknown,15143.750887452614,0.0006303359340926,0.6205896753822306,0.923703430801392,0.0119707435028789,0.108064882155246,932.2976848875746,retail_general,0.5198306474836466,0.0003508810915312993,0.6205896753822306,0.0119707435028789,861.1665700588477,0.9127768136893418
